part,minimum,maximum,difference,mean
container_1,5760,6959.2,1199.1999999999998,6359.6
container_2,13384,7290.666666666667,-6093.333333333333,10337.333333333334
container_3,5524,5657.2,133.19999999999982,5590.6
lid_1,5734,6676.8,942.8000000000002,6205.4
lid_2,13342,7292.888888888889,-6049.111111111111,10317.444444444445
lid_3,4570,7079.2,2509.2,5824.6
tube,7788,5524.0,-2264.0,6656.0
damaged_tube,4838,5382.666666666667,544.666666666667,5110.333333333334
sensor_1,5292,6818.0,1526.0,6055.0
sensor_2,5622,6821.6,1199.6000000000004,6221.8
sensor_3,5680,7023.2,1343.1999999999998,6351.6
sensor_4,5816,7200.8,1384.8000000000002,6508.4
sensor_5,4896,6991.6,2095.6000000000004,5943.8
